YEAR_NBR,GENDER_CD,AGE_GROUP_CD,UC_NIV1,UC_NIV2,UC_NIV3,UC_NIV4,UC_CD,TOT_DEATHS_AMT,STD_DEATHS_NBR
2023,1,45,G00-G99: ziekten van zenuwstelsel,G00-G09: ontstekingsprocessen van centraal zenuwstelsel,G06: intracraniaal en intraspinaal abces en granuloom,G060: intracraniaal abces en granuloom,G060,1,0.035
2023,1,65,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C48: maligne neoplasma van retroperitoneale ruimte en peritoneum,"C482: peritoneum, niet gespecificeerd",C482,1,0.0275
2023,2,85,K00-K93: ziekten van spijsverteringsstelsel,"K20-K31: ziekten van slokdarm, maag en duodenum",K26: ulcus duodeni,"K269: ulcus duodeni, niet gespecificeerd als acuut of chronisch, zonder bloeding of perforatie",K269,1,0.018
2023,1,70,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I77: overige aandoeningen van arteriën en arteriolen,I771: strictuur van arterie,I771,1,0.03
2023,1,75,H60-H95: ziekten van oor en processus mastoideus,H65-H75: aandoeningen van middenoor en mastoïd,H66: etterige en niet gespecificeerde otitis media,"H669: otitis media, niet gespecificeerd",H669,1,0.032
2023,1,75,"R00-R99: symptomen, afwijkende klinische bevindingen en laboratoriumuitslagen, niet elders geclassificeerd",R50-R69: algemene symptomen,"R52: pijn, niet elders geclassificeerd","R529: pijn, niet gespecificeerd",R529,1,0.032
2023,1,70,K00-K93: ziekten van spijsverteringsstelsel,"K20-K31: ziekten van slokdarm, maag en duodenum",K22: overige ziekten van slokdarm,"K229: ziekten van slokdarm, niet gespecificeerd",K229,1,0.03
2023,1,45,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,"C64: maligne neoplasma van nier, behalve nierbekken",,C64,1,0.035
2023,2,50,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C26: maligne neoplasma van overige en slecht omschreven delen van spijsverteringsstelsel,"C260: tractus intestinalis, deel niet gespecificeerd",C260,1,0.028
2023,1,90,K00-K93: ziekten van spijsverteringsstelsel,K55-K64: overige ziekten van darmen,K56: paralytische ileus en darmobstructie zonder hernia,K565: darmadhesies [darmstrengen] met obstructie,K565,1,0.0384
